seed,P@1,nDCG@1,P@5,nDCG@5,P@10,nDCG@10,dataset,algorithm
1,0.1929637526652452,0.1929637526652452,0.17142857142857143,0.19034305881344982,0.14712153518123666,0.20185657409682115,ml100k,ALS
1,0.2867803837953092,0.2867803837953092,0.21940298507462688,0.25073225959334544,0.17579957356076759,0.24575705762926256,ml100k,ItemKNN
1,0.20362473347547974,0.20362473347547974,0.13880597014925372,0.15649370418439013,0.1187633262260128,0.15213781835504792,ml100k,Pop
7,0.22494669509594883,0.22494669509594883,0.17569296375266527,0.20158188539965058,0.15170575692963753,0.21348958954628036,ml100k,ALS
7,0.3230277185501066,0.3230277185501066,0.22985074626865673,0.26497673450447945,0.17846481876332623,0.254508105930815,ml100k,ItemKNN
7,0.21002132196162046,0.21002132196162046,0.14989339019189768,0.16628000682207109,0.1224946695095949,0.15851911997801815,ml100k,Pop
21,0.2068230277185501,0.2068230277185501,0.17377398720682302,0.19406938785997122,0.15021321961620468,0.2047673709079569,ml100k,ALS
21,0.3304904051172708,0.3304904051172708,0.2279317697228145,0.2646378257551712,0.18059701492537317,0.2563150433193432,ml100k,ItemKNN
21,0.21748400852878466,0.21748400852878466,0.14243070362473348,0.16307113002291054,0.123454157782516,0.16089280039514808,ml100k,Pop
42,0.20362473347547974,0.20362473347547974,0.16417910447761194,0.18502245135651402,0.1457356076759062,0.1997948978776377,ml100k,ALS
42,0.34968017057569295,0.34968017057569295,0.23624733475479748,0.2716248400882631,0.1863539445628998,0.26243249217752473,ml100k,ItemKNN
42,0.19829424307036247,0.19829424307036247,0.14712153518123666,0.16166733865166882,0.11780383795309168,0.1534500994271805,ml100k,Pop
84,0.20362473347547974,0.20362473347547974,0.17484008528784648,0.195880715572829,0.15405117270788912,0.21102058602365764,ml100k,ALS
84,0.31023454157782515,0.31023454157782515,0.22985074626865673,0.2634169617091102,0.18710021321961623,0.259420431734343,ml100k,ItemKNN
84,0.21748400852878466,0.21748400852878466,0.1424307036247335,0.16298449864808218,0.11833688699360342,0.15635351924381857,ml100k,Pop
1,0.05398510471958194,0.05398510471958194,0.03484343496687652,0.06829638795325162,0.027157141093692137,0.08495239854856314,amazon_videogames,ALS
1,0.04254618771345101,0.04254618771345101,0.027124223346911905,0.05338072642033365,0.020594165329383202,0.06548989596566963,amazon_videogames,ItemKNN
1,0.008023700777681768,0.008023700777681768,0.005661852446200059,0.011027786385994925,0.004838908776694236,0.014630746422954127,amazon_videogames,Pop
7,0.05345019133440316,0.05345019133440316,0.03578982018680821,0.06947502686677347,0.027243550178990248,0.08533238987351152,amazon_videogames,ALS
7,0.041928979961321645,0.041928979961321645,0.027527465744969757,0.05323911366126226,0.020927457515533064,0.06533898760281392,amazon_videogames,ItemKNN
7,0.008188289511582932,0.008188289511582932,0.005842900053491339,0.011668540310450214,0.004867711805126939,0.015142436317961088,amazon_videogames,Pop
21,0.05159856807801506,0.05159856807801506,0.035328971731884956,0.0685072980499614,0.02718594412212484,0.0846912400027576,amazon_videogames,ALS
21,0.04139406657614286,0.04139406657614286,0.027132452783606965,0.05264878650148991,0.020812245401802248,0.06490941841503958,amazon_videogames,ItemKNN
21,0.008599761346335843,0.008599761346335843,0.006015718224087562,0.011824047792346077,0.005056988849113278,0.015441124759059524,amazon_videogames,Pop
42,0.051804303995391515,0.051804303995391515,0.034530716372464305,0.06739536681057014,0.027062502571698968,0.08413447258032863,amazon_videogames,ALS
42,0.042093568695222815,0.042093568695222815,0.02660576883512324,0.05222721786789208,0.020553018145907914,0.06442697779359705,amazon_videogames,ItemKNN
42,0.00736534584207711,0.00736534584207711,0.005587787515944534,0.010795433203049497,0.0046948936345307165,0.014192932726774903,amazon_videogames,Pop
84,0.051433979344113895,0.051433979344113895,0.03446488087890384,0.06677047445452969,0.027358762292721068,0.08424443349440258,amazon_videogames,ALS
84,0.041558655310044025,0.041558655310044025,0.02743694194132412,0.052801969183502856,0.02079578652841213,0.0648635800242908,amazon_videogames,ItemKNN
84,0.008764350080237009,0.008764350080237009,0.005892276673661688,0.012035526540853424,0.004797761593218944,0.015431718844489921,amazon_videogames,Pop
1,0.11834862385321102,0.11834862385321102,0.08972477064220184,0.10957084298614429,0.07651376146788991,0.1174156735234501,lastfm,ALS
1,0.1018348623853211,0.1018348623853211,0.0836697247706422,0.09912686775128517,0.06678899082568807,0.10508242772297334,lastfm,ItemKNN
1,0.04036697247706422,0.04036697247706422,0.04036697247706422,0.04635437215471517,0.03486238532110092,0.05196565620265663,lastfm,Pop
7,0.13486238532110092,0.13486238532110092,0.0944954128440367,0.1195439086198104,0.07724770642201836,0.12442755900252672,lastfm,ALS
7,0.11651376146788991,0.11651376146788991,0.09229357798165137,0.11051657267640705,0.07724770642201835,0.11963348630367313,lastfm,ItemKNN
7,0.04036697247706422,0.04036697247706422,0.04293577981651377,0.050721158890719535,0.03944954128440367,0.0571510539294258,lastfm,Pop
21,0.12201834862385322,0.12201834862385322,0.08862385321100918,0.1093741855830871,0.0746788990825688,0.1179455043401254,lastfm,ALS
21,0.12752293577981652,0.12752293577981652,0.08660550458715596,0.11038883013917082,0.0744954128440367,0.11998802922815714,lastfm,ItemKNN
21,0.04954128440366973,0.04954128440366973,0.044036697247706424,0.0537323751635501,0.03743119266055046,0.058805022456710966,lastfm,Pop
42,0.11559633027522936,0.11559633027522936,0.09137614678899082,0.11170892735089727,0.07440366972477064,0.11621430252909645,lastfm,ALS
42,0.11743119266055047,0.11743119266055047,0.09064220183486238,0.10981098214506183,0.07302752293577981,0.11611040379699704,lastfm,ItemKNN
42,0.03486238532110092,0.03486238532110092,0.037981651376146786,0.044640517373326166,0.03412844036697248,0.05124975727278625,lastfm,Pop
84,0.13853211009174313,0.13853211009174313,0.09357798165137615,0.11801931348317811,0.07788990825688073,0.12397083892643697,lastfm,ALS
84,0.12110091743119267,0.12110091743119267,0.08880733944954129,0.11164155074440053,0.07513761467889908,0.12104620326239895,lastfm,ItemKNN
84,0.03211009174311927,0.03211009174311927,0.04330275229357798,0.04938448884981798,0.03642201834862385,0.05403198660249006,lastfm,Pop
