dataset,algorithm,seed,Precision@1,nDCG@1,Precision@5,nDCG@5,Precision@10,nDCG@10
ml100k,ALS,1,0.19509594882729211,0.19509594882729211,0.17036247334754798,0.18964322556384822,0.15426439232409384,0.20731806702095032
ml100k,ItemKNN,1,0.07569296375266525,0.07569296375266525,0.028784648187633263,0.03727239904519768,0.033582089552238806,0.042008864886661654
ml100k,Pop,1,0.2046908315565032,0.2046908315565032,0.144136460554371,0.16212480461011708,0.12036247334754797,0.15771111312778732
ml100k,ALS,7,0.20362473347547974,0.20362473347547974,0.1697228144989339,0.18778452206201013,0.14925373134328357,0.20133445337843034
ml100k,ItemKNN,7,0.07995735607675906,0.07995735607675906,0.030277185501066103,0.039525996041513016,0.036780383795309166,0.04506683454050414
ml100k,Pop,7,0.2046908315565032,0.2046908315565032,0.14541577825159915,0.16092437512520064,0.11844349680170578,0.15330124605299003
ml100k,ALS,21,0.21428571428571427,0.21428571428571427,0.17036247334754798,0.1917991547174313,0.1490405117270789,0.20383427491426367
ml100k,ItemKNN,21,0.07356076759061833,0.07356076759061833,0.03070362473347548,0.03908624638987868,0.037526652452025584,0.04512449093436566
ml100k,Pop,21,0.21215351812366737,0.21215351812366737,0.14434968017057573,0.16303921447947534,0.114818763326226,0.15150735707688798
ml100k,ALS,42,0.23773987206823027,0.23773987206823027,0.17334754797441365,0.20194398142965564,0.14658848614072498,0.21052432097683846
ml100k,ItemKNN,42,0.07569296375266525,0.07569296375266525,0.029211087420042643,0.037847305787453635,0.033582089552238806,0.04284900594932092
ml100k,Pop,42,0.2046908315565032,0.2046908315565032,0.15095948827292113,0.16781800737263006,0.12281449893390192,0.16076914058022165
ml100k,ALS,84,0.22388059701492538,0.22388059701492538,0.1722814498933902,0.1975786310075129,0.15543710021321963,0.21596898044111112
ml100k,ItemKNN,84,0.0767590618336887,0.0767590618336887,0.028144989339019193,0.03658929224478513,0.03464818763326226,0.041622730958884975
ml100k,Pop,84,0.2025586353944563,0.2025586353944563,0.14797441364605546,0.16437637607468789,0.12238805970149254,0.15814856147660486
amazon_videogames,ALS,1,0.037928151081520284,0.037928151081520284,0.025325402710505974,0.051892127813785764,0.020032185286275504,0.0658628466149126
amazon_videogames,ItemKNN,1,0.0005679756401558777,0.0005679756401558777,0.0005616647997097014,0.0010598396569703565,0.00057270877049051,0.0016661423122621996
amazon_videogames,Pop,1,0.00858274300679993,0.00858274300679993,0.006730511335847152,0.013440493769551514,0.00588012558572488,0.018305989251848776
amazon_videogames,ALS,7,0.037392909547025135,0.037392909547025135,0.02522206970543223,0.05166030495349865,0.019804042220854832,0.06527434417844105
amazon_videogames,ItemKNN,7,0.0005995487606696013,0.0005995487606696013,0.0005743046023256181,0.0011393810427680023,0.0005348606049131444,0.0016501781810488365
amazon_videogames,Pop,7,0.008551458639024314,0.008551458639024314,0.006784367554945489,0.013316115521651732,0.005842444896735615,0.01811878440076374
amazon_videogames,ALS,21,0.03695171978542127,0.03695171978542127,0.025506468917639635,0.051442749762753474,0.019930577469233202,0.06498297766645275
amazon_videogames,ItemKNN,21,0.0003313348059324708,0.0003313348059324708,0.0004985799936888609,0.000858830446691782,0.0005380246134427264,0.001442731029207385
amazon_videogames,Pop,21,0.008567371410539603,0.008567371410539603,0.006519406752918903,0.012936437445917477,0.005845692647522878,0.018037143792722417
amazon_videogames,ALS,42,0.03694997081236294,0.03694997081236294,0.025262294306044212,0.051225452434797494,0.01980972816054778,0.06486084999136572
amazon_videogames,ItemKNN,42,0.0004890901345786725,0.0004890901345786725,0.00051117807614029,0.0009312860986081131,0.0005001341053594813,0.0014143986987294771
amazon_videogames,Pop,42,0.00870895981572346,0.00870895981572346,0.006620071628039064,0.013319453327998684,0.005692378082451131,0.018006290995685383
amazon_videogames,ALS,84,0.03668233883436938,0.03668233883436938,0.02483985989713168,0.050260786112146516,0.019455050329746613,0.06354375229216819
amazon_videogames,ItemKNN,84,0.0005522072512700767,0.0005522072512700767,0.0005585181912845918,0.0010414186263747686,0.0005553627212773343,0.001613578121451264
amazon_videogames,Pop,84,0.008945757470575242,0.008945757470575242,0.006658041715313496,0.013301607746602327,0.005799753873339434,0.018124897730311066
lastfm,ALS,1,0.10825688073394496,0.10825688073394496,0.08935779816513761,0.10841388338471983,0.0773394495412844,0.1176786613126691
lastfm,ItemKNN,1,0.0009174311926605505,0.0009174311926605505,0.003669724770642202,0.003007708014460886,0.0034862385321100917,0.0036587580600394914
lastfm,Pop,1,0.03486238532110092,0.03486238532110092,0.04513761467889908,0.05290388881415335,0.03880733944954129,0.058992174858391276
lastfm,ALS,7,0.12385321100917432,0.12385321100917432,0.0944954128440367,0.11594836300836388,0.07880733944954128,0.12199294073055864
lastfm,ItemKNN,7,0.003669724770642202,0.003669724770642202,0.005871559633027523,0.005549899265401968,0.004311926605504588,0.005485444395553964
lastfm,Pop,7,0.04220183486238532,0.04220183486238532,0.04385321100917432,0.04966204523981296,0.038073394495412846,0.056885590841942876
lastfm,ALS,21,0.11100917431192661,0.11100917431192661,0.0926605504587156,0.11334380666954097,0.07486238532110091,0.11915054335934723
lastfm,ItemKNN,21,0.0027522935779816515,0.0027522935779816515,0.004954128440366972,0.0044410053332898086,0.003486238532110092,0.00433478820812299
lastfm,Pop,21,0.044954128440366975,0.044954128440366975,0.041651376146788995,0.051100658963710854,0.03688073394495413,0.05645310606482665
lastfm,ALS,42,0.11834862385321102,0.11834862385321102,0.09779816513761468,0.11699224016622901,0.08009174311926605,0.12256462491860447
lastfm,ItemKNN,42,0.003669724770642202,0.003669724770642202,0.0047706422018348625,0.004561084537476133,0.004678899082568808,0.005459254467436276
lastfm,Pop,42,0.05137614678899083,0.05137614678899083,0.042018348623853216,0.0522529089322357,0.03853211009174312,0.06013828598596992
lastfm,ALS,84,0.11926605504587157,0.11926605504587157,0.09229357798165137,0.11421361856347167,0.07651376146788991,0.11989689826322895
lastfm,ItemKNN,84,0.001834862385321101,0.001834862385321101,0.005321100917431193,0.0041439516996149,0.003577981651376147,0.0037659149999945056
lastfm,Pop,84,0.03394495412844037,0.03394495412844037,0.03724770642201835,0.043709236424525934,0.034495412844036705,0.05176658858784002
